id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
140607,tt2488496,11.173103999999999,200000000,2068178225,Star Wars: The Force Awakens,harrison ford|mark hamill|carrie fisher|adam driver|daisy ridley,http://www.starwars.com/films/star-wars-episode-vii,j.j. abrams,Every generation has a story.,android|spaceship|jedi|space opera|3d,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",136,action|adventure|science fiction|fantasy,lucasfilm|truenorth productions|bad robot,12/15/15,5292,7.5,2015,183999919.040035,1902723129.80182
168259,tt2820852,9.335014,190000000,1506249360,Furious 7,vin diesel|paul walker|jason statham|michelle rodriguez|dwayne johnson,http://www.furious7.com/,james wan,Vengeance Hits Home,car race|speed|revenge|suspense|car,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,137,action|crime|thriller,universal pictures|original film|media rights capital|dentsu|one race films,4/1/15,2947,7.3,2015,174799923.08803302,1385748801.47052
87101,tt1340138,8.654359,155000000,440603537,Terminator Genisys,arnold schwarzenegger|jason clarke|emilia clarke|jai courtney|j.k. simmons,http://www.terminatormovie.com/,alan taylor,Reset the future,saving the world|artificial intelligence|cyborg|killer robot|future,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.",125,science fiction|action|thriller|adventure,paramount pictures|skydance productions,6/23/15,2598,5.8,2015,142599937.256027,405355075.683766
286217,tt3659388,7.6674,108000000,595380321,The Martian,matt damon|jessica chastain|kristen wiig|jeff daniels|michael peã±a,http://www.foxmovies.com/movies/the-martian,ridley scott,Bring Him Home,based on novel|mars|nasa|isolation|botanist,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",141,drama|adventure|science fiction,twentieth century fox film corporation|scott free productions|mid atlantic films|international traders|tsg entertainment,9/30/15,4572,7.6,2015,99359956.2816192,547749654.3101519
211672,tt2293640,7.40416499999999,74000000,1156730962,Minions,sandra bullock|jon hamm|michael keaton|allison janney|steve coogan,http://www.minionsmovie.com/,kyle balda|pierre coffin,"Before Gru, they had a history of bad bosses",assistant|aftercreditsstinger|duringcreditsstinger|evil mastermind|minions,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",91,family|animation|adventure|comedy,universal pictures|illumination entertainment,6/17/15,2893,6.5,2015,68079970.0448131,1064192016.7955099
150540,tt2096673,6.326804,175000000,853708609,Inside Out,amy poehler|phyllis smith|richard kind|bill hader|lewis black,http://movies.disney.com/inside-out,pete docter,Meet the little voices inside your head.,dream|cartoon|imaginary friend|animation|kid,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",94,comedy|animation|family,walt disney pictures|pixar animation studios|walt disney studios motion pictures,6/9/15,3935,8.0,2015,160999929.16003102,785411574.698907
76757,tt1617661,6.189369,176000003,183987723,Jupiter Ascending,mila kunis|channing tatum|sean bean|eddie redmayne|douglas booth,http://www.jupiterascending.com,lana wachowski|lilly wachowski,Expand your universe.,jupiter|space|woman director|3d|interspecies romance,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynastyâ€¦",124,science fiction|fantasy|action|adventure,village roadshow pictures|dune entertainment|anarchos productions|warner bros.,2/4/15,1937,5.2,2015,161919931.51523,169268630.681802
264660,tt0470752,6.118847,15000000,36869414,Ex Machina,domhnall gleeson|alicia vikander|oscar isaac|sonoya mizuno|corey johnson,http://exmachina-movie.com/,alex garland,There is nothing more human than the will to survive,dancing|artificial intelligence|helicopter|distrust|isolation,"Caleb, a 26 year old coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl.",108,drama|science fiction,dna films|universal pictures international (upi)|film4,1/21/15,2854,7.6,2015,13799993.9280026,33919845.9552677
257344,tt2120120,5.984995,88000000,243637091,Pixels,adam sandler|michelle monaghan|peter dinklage|josh gad|kevin james,http://www.pixels-movie.com/,chris columbus,Game On.,video game|nerd|alien attack|3d|pixels,Video game experts are recruited by the military to fight 1980s-era video game characters who've attacked New York.,105,action|comedy|science fiction,columbia pictures|happy madison productions,7/16/15,1575,5.8,2015,80959964.37761559,224146025.095748
99861,tt2395427,5.944927,280000000,1405035767,Avengers: Age of Ultron,robert downey jr.|chris hemsworth|mark ruffalo|chris evans|scarlett johansson,http://marvel.com/movies/movie/193/avengers_age_of_ultron,joss whedon,A New Age Has Come.,marvel comic|comic|sequel|superhero|vision,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earthâ€™s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",141,action|adventure|science fiction,marvel studios|prime focus|revolution sun studios,4/22/15,4304,7.4,2015,257599886.656049,1292632336.88177
